label,message
spam,Get rich quick! Earn $500 per week working from home. No experience needed. Reply YES
spam,"Dear customer, your OTP has expired, click secure-verify.net to verify your identity and avoid account lock"
ham,Congratulations on your promotion! Well deserved
spam,Your package could not be delivered. Pay a redelivery fee of $10000 at claim-prize.co
ham,"Thanks for helping me move last weekend, really appreciate it"
spam,Act now! Only 80% seats left for our FREE webinar that will make you rich
spam,"Congrats! You are eligible for a iPhone 16. To claim, send your bank details to secure-verify.net"
spam,Your loan of $1000 has been APPROVED. No credit check required. Apply now at bit.ly/claim-now
ham,The meeting has been rescheduled to 9 AM on Friday
spam,Hot singles in your area want to chat with you! Click reward-center.info now
ham,"The Wi-Fi at the office is down again, IT is looking into it"
spam,CASH PRIZE ALERT: You've won $5000 in our lucky draw. Claim within 24 hours at bit.ly/claim-now
spam,FREE entry into our $500 weekly prize draw! Text WIN to enter now
spam,Act now! Only 60% seats left for our FREE webinar that will make you rich
spam,WINNER!! As a valued customer you have been selected to receive a $2500 gift card. Call now
ham,"Mom said dinner is ready, come downstairs"
ham,Can you review my code before I push it to the main branch?
ham,"The train was on time today, made it to work early"
spam,Your package could not be delivered. Pay a redelivery fee of $1000 at tinyurl.com/win-big
ham,"I'm heading to the gym, want to join?"
spam,Limited time offer! Get 50% off on all products. Shop now at bit.ly/claim-now
spam,Act now! Only 60% seats left for our FREE webinar that will make you rich
spam,You have 1 new voicemail from your bank regarding suspicious activity. Call 1-800-555-0199 immediately
spam,You've been chosen for a mystery vacation package box! Just pay $10000 shipping. Click reward-center.info
ham,Don't forget to pick up milk and eggs on your way home
spam,IRS Notice: You owe $10000 in unpaid taxes. Pay immediately at reward-center.info to avoid arrest
ham,What time does the movie start tonight?
ham,"Hey, are we still meeting for lunch at 9 AM tomorrow?"
spam,Final notice: Your subscription payment of $2500 failed. Update card details at claim-prize.co
ham,Can we reschedule our call to 9 AM?
spam,Congratulations! You've won a laptop worth $500. Claim now at secure-verify.net
ham,"I left my charger at your place, can I grab it tomorrow?"
spam,URGENT: Your account will be suspended. Verify immediately at claim-prize.co
spam,"Dear customer, your OTP has expired, click tinyurl.com/win-big to verify your identity and avoid account lock"
spam,Claim your inheritance of $750 from a distant relative. Contact tinyurl.com/win-big with your details
spam,Final notice: Your subscription payment of $2500 failed. Update card details at reward-center.info
ham,Can we reschedule our call to 9 AM?
spam,"Dear customer, your OTP has expired, click tinyurl.com/win-big to verify your identity and avoid account lock"
spam,Earn extra $1000/day with this simple trick! Doctors hate it. Click secure-verify.net
spam,Congratulations! You've won a vacation package worth $250. Claim now at claim-prize.co
spam,Earn extra $5000/day with this simple trick! Doctors hate it. Click tinyurl.com/win-big
spam,Your loan of $500 has been APPROVED. No credit check required. Apply now at reward-center.info
spam,Your package could not be delivered. Pay a redelivery fee of $5000 at tinyurl.com/win-big
spam,CASH PRIZE ALERT: You've won $10000 in our lucky draw. Claim within 24 hours at tinyurl.com/win-big
spam,You have been selected for a FREE cash prize! Click tinyurl.com/win-big to claim your reward
spam,Claim your inheritance of $750 from a distant relative. Contact tinyurl.com/win-big with your details
ham,Reminder: your dentist appointment is at noon tomorrow
spam,URGENT: Your account will be suspended. Verify immediately at bit.ly/claim-now
ham,Can you send me the report before 10 AM? Thanks!
ham,"I'll be a few minutes late, stuck in traffic"
ham,Reminder: your dentist appointment is at 10 AM tomorrow
ham,Let's catch up over coffee this weekend if you're free
ham,Can we reschedule our call to 5 PM?
spam,FREE entry into our $10000 weekly prize draw! Text WIN to enter now
ham,Just checking in — how did your interview go?
spam,"Congrats! You are eligible for a laptop. To claim, send your bank details to claim-prize.co"
ham,Let me know if you need help studying for the exam
spam,IRS Notice: You owe $750 in unpaid taxes. Pay immediately at claim-prize.co to avoid arrest
spam,"Congrats! You are eligible for a iPhone 16. To claim, send your bank details to claim-prize.co"
spam,Your loan of $250 has been APPROVED. No credit check required. Apply now at reward-center.info
spam,Act now! Only 60% seats left for our FREE webinar that will make you rich
ham,Can you proofread this email before I send it to the manager?
ham,Just checking in — how did your interview go?
spam,Act now! Only 60% seats left for our FREE webinar that will make you rich
spam,You've been chosen for a mystery laptop box! Just pay $250 shipping. Click claim-prize.co
spam,"Congrats! You are eligible for a laptop. To claim, send your bank details to bit.ly/claim-now"
spam,Get rich quick! Earn $250 per week working from home. No experience needed. Reply YES
spam,Limited time offer! Get 90% off on all products. Shop now at claim-prize.co
spam,Final notice: Your subscription payment of $5000 failed. Update card details at claim-prize.co
ham,Can you proofread this email before I send it to the manager?
ham,"Thanks for helping me move last weekend, really appreciate it"
ham,Can you review my code before I push it to the main branch?
spam,Get rich quick! Earn $5000 per week working from home. No experience needed. Reply YES
spam,CASH PRIZE ALERT: You've won $10000 in our lucky draw. Claim within 24 hours at bit.ly/claim-now
spam,Hot singles in your area want to chat with you! Click bit.ly/claim-now now
spam,You have 1 new voicemail from your bank regarding suspicious activity. Call 1-800-555-0199 immediately
ham,Can you review my code before I push it to the main branch?
ham,Can you review my code before I push it to the main branch?
spam,WINNER!! As a valued customer you have been selected to receive a $750 gift card. Call now
spam,Final notice: Your subscription payment of $5000 failed. Update card details at bit.ly/claim-now
ham,What time does the movie start tonight?
ham,Happy birthday! Hope you have a wonderful day
ham,Congratulations on your promotion! Well deserved
ham,Let's catch up over coffee this weekend if you're free
spam,CASH PRIZE ALERT: You've won $750 in our lucky draw. Claim within 24 hours at secure-verify.net
ham,Can you proofread this email before I send it to the manager?
ham,Let's catch up over coffee this weekend if you're free
ham,Please find attached the invoice for last month's services
ham,Please find attached the invoice for last month's services
ham,"Mom said dinner is ready, come downstairs"
spam,WINNER!! As a valued customer you have been selected to receive a $5000 gift card. Call now
ham,"Great job on the presentation today, the client loved it"
ham,Congratulations on your promotion! Well deserved
ham,"I left my charger at your place, can I grab it tomorrow?"
spam,CASH PRIZE ALERT: You've won $500 in our lucky draw. Claim within 24 hours at secure-verify.net
spam,Earn extra $500/day with this simple trick! Doctors hate it. Click bit.ly/claim-now
spam,Congratulations! You've won a laptop worth $10000. Claim now at reward-center.info
ham,"I left my charger at your place, can I grab it tomorrow?"
ham,"Our flight got delayed by two hours, landing around 5 PM"
ham,"Thanks for helping me move last weekend, really appreciate it"
spam,Claim your inheritance of $1000 from a distant relative. Contact bit.ly/claim-now with your details
spam,"Congrats! You are eligible for a smartwatch. To claim, send your bank details to bit.ly/claim-now"
spam,"Dear customer, your OTP has expired, click tinyurl.com/win-big to verify your identity and avoid account lock"
ham,What time does the movie start tonight?
spam,"Congrats! You are eligible for a cash prize. To claim, send your bank details to claim-prize.co"
ham,"I'll be a few minutes late, stuck in traffic"
ham,"Great job on the presentation today, the client loved it"
spam,IRS Notice: You owe $1000 in unpaid taxes. Pay immediately at bit.ly/claim-now to avoid arrest
ham,"Great job on the presentation today, the client loved it"
spam,Final notice: Your subscription payment of $2500 failed. Update card details at reward-center.info
ham,"The train was on time today, made it to work early"
ham,"Just finished the project, sending it over for review now"
ham,"Just finished the project, sending it over for review now"
ham,"Hey, are we still meeting for lunch at 8 PM tomorrow?"
spam,Get rich quick! Earn $500 per week working from home. No experience needed. Reply YES
spam,CASH PRIZE ALERT: You've won $750 in our lucky draw. Claim within 24 hours at bit.ly/claim-now
spam,IRS Notice: You owe $10000 in unpaid taxes. Pay immediately at claim-prize.co to avoid arrest
ham,Congratulations on your promotion! Well deserved
spam,You have been selected for a FREE laptop! Click tinyurl.com/win-big to claim your reward
spam,Get rich quick! Earn $750 per week working from home. No experience needed. Reply YES
spam,Get rich quick! Earn $1000 per week working from home. No experience needed. Reply YES
spam,"Dear customer, your OTP has expired, click claim-prize.co to verify your identity and avoid account lock"
spam,Your loan of $750 has been APPROVED. No credit check required. Apply now at tinyurl.com/win-big
ham,Congratulations on your promotion! Well deserved
ham,"Our flight got delayed by two hours, landing around noon"
ham,"Mom said dinner is ready, come downstairs"
spam,Earn extra $750/day with this simple trick! Doctors hate it. Click secure-verify.net
spam,Earn extra $2500/day with this simple trick! Doctors hate it. Click claim-prize.co
ham,Let me know if you need help studying for the exam
ham,"Great job on the presentation today, the client loved it"
ham,Just checking in — how did your interview go?
ham,"Great job on the presentation today, the client loved it"
spam,Get rich quick! Earn $10000 per week working from home. No experience needed. Reply YES
ham,"I'll be a few minutes late, stuck in traffic"
ham,Can you send me the report before 6:30 PM? Thanks!
spam,URGENT: Your account will be suspended. Verify immediately at reward-center.info
ham,The meeting has been rescheduled to 5 PM on Friday
ham,Can you review my code before I push it to the main branch?
spam,FREE entry into our $1000 weekly prize draw! Text WIN to enter now
spam,Congratulations! You've won a laptop worth $1000. Claim now at secure-verify.net
spam,You have 1 new voicemail from your bank regarding suspicious activity. Call 1-888-222-4567 immediately
ham,Can you proofread this email before I send it to the manager?
spam,WINNER!! As a valued customer you have been selected to receive a $250 gift card. Call now
ham,"I'm heading to the gym, want to join?"
spam,CASH PRIZE ALERT: You've won $750 in our lucky draw. Claim within 24 hours at reward-center.info
ham,"Our flight got delayed by two hours, landing around 6:30 PM"
spam,Your package could not be delivered. Pay a redelivery fee of $2500 at reward-center.info
ham,"Mom said dinner is ready, come downstairs"
ham,"I left my charger at your place, can I grab it tomorrow?"
ham,"Just finished the project, sending it over for review now"
ham,Happy birthday! Hope you have a wonderful day
spam,"Dear customer, your OTP has expired, click reward-center.info to verify your identity and avoid account lock"
ham,Let me know if you need help studying for the exam
spam,URGENT: Your account will be suspended. Verify immediately at secure-verify.net
ham,"I'll be a few minutes late, stuck in traffic"
ham,Let's catch up over coffee this weekend if you're free
ham,"Just finished the project, sending it over for review now"
spam,FREE entry into our $5000 weekly prize draw! Text WIN to enter now
spam,Claim your inheritance of $1000 from a distant relative. Contact claim-prize.co with your details
spam,FREE entry into our $10000 weekly prize draw! Text WIN to enter now
ham,The meeting has been rescheduled to 3 PM on Friday
spam,"Congrats! You are eligible for a iPhone 16. To claim, send your bank details to secure-verify.net"
spam,Claim your inheritance of $2500 from a distant relative. Contact tinyurl.com/win-big with your details
ham,"I left my charger at your place, can I grab it tomorrow?"
ham,Can you send me the report before noon? Thanks!
spam,IRS Notice: You owe $2500 in unpaid taxes. Pay immediately at claim-prize.co to avoid arrest
spam,You've been chosen for a mystery cash prize box! Just pay $2500 shipping. Click reward-center.info
ham,Just checking in — how did your interview go?
ham,Let me know if you need help studying for the exam
spam,You have 1 new voicemail from your bank regarding suspicious activity. Call 1-800-555-0199 immediately
spam,Congratulations! You've won a iPhone 16 worth $250. Claim now at secure-verify.net
spam,Act now! Only 80% seats left for our FREE webinar that will make you rich
ham,Please find attached the invoice for last month's services
ham,"I'll be a few minutes late, stuck in traffic"
spam,Final notice: Your subscription payment of $750 failed. Update card details at tinyurl.com/win-big
ham,"I'm heading to the gym, want to join?"
spam,You've been chosen for a mystery gift card box! Just pay $250 shipping. Click claim-prize.co
ham,Can you send me the report before 10 AM? Thanks!
ham,"I'll be a few minutes late, stuck in traffic"
ham,Happy birthday! Hope you have a wonderful day
ham,Congratulations on your promotion! Well deserved
ham,Let's catch up over coffee this weekend if you're free
ham,The meeting has been rescheduled to 5 PM on Friday
ham,Don't forget to pick up milk and eggs on your way home
